!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Gene' name='Gene' date='2020-07-18 12:20:25' objTablesVersion='1.0.5' document='MODEL1507180055',,,,,
!ID,!SBML:fbc:ID,!SBML:fbc:Name,!SBML:fbc:GeneProduct,!SBML:fbc:GeneAssociation,!SBML:fbc:Label
G_100039108,G_100039108,100039108,True,False,100039108
G_100041375,G_100041375,100041375,True,False,100041375
G_100042918,G_100042918,100042918,True,False,100042918
G_100043349,G_100043349,100043349,True,False,100043349
G_100043472,G_100043472,100043472,True,False,100043472
G_100043684,G_100043684,100043684,True,False,100043684
G_100163,G_100163,100163,True,False,100163
G_100198,G_100198,100198,True,False,100198
G_100559,G_100559,100559,True,False,100559
G_100678,G_100678,100678,True,False,100678
G_100705,G_100705,100705,True,False,100705
G_101502,G_101502,101502,True,False,101502
G_102247,G_102247,102247,True,False,102247
G_102448,G_102448,102448,True,False,102448
G_102632,G_102632,102632,True,False,102632
G_102857,G_102857,102857,True,False,102857
G_103149,G_103149,103149,True,False,103149
G_103534,G_103534,103534,True,False,103534
G_103711,G_103711,103711,True,False,103711
G_103850,G_103850,103850,True,False,103850
G_103963,G_103963,103963,True,False,103963
G_103988,G_103988,103988,True,False,103988
G_104015,G_104015,104015,True,False,104015
G_104086,G_104086,104086,True,False,104086
G_104110,G_104110,104110,True,False,104110
G_104111,G_104111,104111,True,False,104111
G_104112,G_104112,104112,True,False,104112
G_104174,G_104174,104174,True,False,104174
G_104245,G_104245,104245,True,False,104245
G_104418,G_104418,104418,True,False,104418
G_10476,G_10476,10476,True,False,10476
G_104776,G_104776,104776,True,False,104776
G_105014,G_105014,105014,True,False,105014
G_105243,G_105243,105243,True,False,105243
G_105355,G_105355,105355,True,False,105355
G_105446,G_105446,105446,True,False,105446
G_105663,G_105663,105663,True,False,105663
G_105727,G_105727,105727,True,False,105727
G_106557,G_106557,106557,True,False,106557
G_106564,G_106564,106564,True,False,106564
G_106648,G_106648,106648,True,False,106648
G_107029,G_107029,107029,True,False,107029
G_107272,G_107272,107272,True,False,107272
G_107476,G_107476,107476,True,False,107476
G_107569,G_107569,107569,True,False,107569
G_107605,G_107605,107605,True,False,107605
G_107650,G_107650,107650,True,False,107650
G_107652,G_107652,107652,True,False,107652
G_107723,G_107723,107723,True,False,107723
G_107747,G_107747,107747,True,False,107747
G_107766,G_107766,107766,True,False,107766
G_107869,G_107869,107869,True,False,107869
G_107885,G_107885,107885,True,False,107885
G_107895,G_107895,107895,True,False,107895
G_108037,G_108037,108037,True,False,108037
G_108052,G_108052,108052,True,False,108052
G_108083,G_108083,108083,True,False,108083
G_108105,G_108105,108105,True,False,108105
G_108115,G_108115,108115,True,False,108115
G_108116,G_108116,108116,True,False,108116
G_108147,G_108147,108147,True,False,108147
G_108156,G_108156,108156,True,False,108156
G_108645,G_108645,108645,True,False,108645
G_108664,G_108664,108664,True,False,108664
G_108682,G_108682,108682,True,False,108682
G_108841,G_108841,108841,True,False,108841
G_108902,G_108902,108902,True,False,108902
G_109079,G_109079,109079,True,False,109079
G_109136,G_109136,109136,True,False,109136
G_109264,G_109264,109264,True,False,109264
G_109342,G_109342,109342,True,False,109342
G_109652,G_109652,109652,True,False,109652
G_109674,G_109674,109674,True,False,109674
G_109731,G_109731,109731,True,False,109731
G_109778,G_109778,109778,True,False,109778
G_109785,G_109785,109785,True,False,109785
G_109801,G_109801,109801,True,False,109801
G_109900,G_109900,109900,True,False,109900
G_110006,G_110006,110006,True,False,110006
G_110074,G_110074,110074,True,False,110074
G_110078,G_110078,110078,True,False,110078
G_110095,G_110095,110095,True,False,110095
G_110115,G_110115,110115,True,False,110115
G_110119,G_110119,110119,True,False,110119
G_110147,G_110147,110147,True,False,110147
G_110173,G_110173,110173,True,False,110173
G_110196,G_110196,110196,True,False,110196
G_110198,G_110198,110198,True,False,110198
G_110208,G_110208,110208,True,False,110208
G_110385,G_110385,110385,True,False,110385
G_110391,G_110391,110391,True,False,110391
G_110417,G_110417,110417,True,False,110417
G_110446,G_110446,110446,True,False,110446
G_110639,G_110639,110639,True,False,110639
G_110695,G_110695,110695,True,False,110695
G_110821,G_110821,110821,True,False,110821
G_110826,G_110826,110826,True,False,110826
G_110842,G_110842,110842,True,False,110842
G_110855,G_110855,110855,True,False,110855
G_110877,G_110877,110877,True,False,110877
G_110891,G_110891,110891,True,False,110891
G_110893,G_110893,110893,True,False,110893
G_110895,G_110895,110895,True,False,110895
G_110911,G_110911,110911,True,False,110911
G_110935,G_110935,110935,True,False,110935
G_110948,G_110948,110948,True,False,110948
G_11298,G_11298,11298,True,False,11298
G_11303,G_11303,11303,True,False,11303
G_11364,G_11364,11364,True,False,11364
G_113868,G_113868,113868,True,False,113868
G_11409,G_11409,11409,True,False,11409
G_114143,G_114143,114143,True,False,114143
G_11416,G_11416,11416,True,False,11416
G_11423,G_11423,11423,True,False,11423
G_11428,G_11428,11428,True,False,11428
G_11429,G_11429,11429,True,False,11429
G_11430,G_11430,11430,True,False,11430
G_114304,G_114304,114304,True,False,114304
G_11431,G_11431,11431,True,False,11431
G_11432,G_11432,11432,True,False,11432
G_114479,G_114479,114479,True,False,114479
G_114644,G_114644,114644,True,False,114644
G_114663,G_114663,114663,True,False,114663
G_11484,G_11484,11484,True,False,11484
G_11486,G_11486,11486,True,False,11486
G_114863,G_114863,114863,True,False,114863
G_114875,G_114875,114875,True,False,114875
G_11512,G_11512,11512,True,False,11512
G_11513,G_11513,11513,True,False,11513
G_11514,G_11514,11514,True,False,11514
G_11515,G_11515,11515,True,False,11515
G_11532,G_11532,11532,True,False,11532
G_11534,G_11534,11534,True,False,11534
G_11564,G_11564,11564,True,False,11564
G_11565,G_11565,11565,True,False,11565
G_11566,G_11566,11566,True,False,11566
G_1159,G_1159,1159,True,False,1159
G_11593,G_11593,11593,True,False,11593
G_11605,G_11605,11605,True,False,11605
G_11611,G_11611,11611,True,False,11611
G_11628,G_11628,11628,True,False,11628
G_11636,G_11636,11636,True,False,11636
G_11647,G_11647,11647,True,False,11647
G_11650,G_11650,11650,True,False,11650
G_11655,G_11655,11655,True,False,11655
G_11656,G_11656,11656,True,False,11656
G_11668,G_11668,11668,True,False,11668
G_11669,G_11669,11669,True,False,11669
G_11670,G_11670,11670,True,False,11670
G_11671,G_11671,11671,True,False,11671
G_11674,G_11674,11674,True,False,11674
G_11676,G_11676,11676,True,False,11676
G_11677,G_11677,11677,True,False,11677
G_11684,G_11684,11684,True,False,11684
G_11686,G_11686,11686,True,False,11686
G_11687,G_11687,11687,True,False,11687
G_11688,G_11688,11688,True,False,11688
G_11689,G_11689,11689,True,False,11689
G_116914,G_116914,116914,True,False,116914
G_11702,G_11702,11702,True,False,11702
G_117147,G_117147,117147,True,False,117147
G_117150,G_117150,117150,True,False,117150
G_11717,G_11717,11717,True,False,11717
G_11720,G_11720,11720,True,False,11720
G_11722,G_11722,11722,True,False,11722
G_11739,G_11739,11739,True,False,11739
G_11740,G_11740,11740,True,False,11740
G_11754,G_11754,11754,True,False,11754
G_11757,G_11757,11757,True,False,11757
G_117592,G_117592,117592,True,False,117592
G_11761,G_11761,11761,True,False,11761
G_11821,G_11821,11821,True,False,11821
G_11833,G_11833,11833,True,False,11833
G_11846,G_11846,11846,True,False,11846
G_11847,G_11847,11847,True,False,11847
G_11881,G_11881,11881,True,False,11881
G_11883,G_11883,11883,True,False,11883
G_11886,G_11886,11886,True,False,11886
G_11898,G_11898,11898,True,False,11898
G_11941,G_11941,11941,True,False,11941
G_11944,G_11944,11944,True,False,11944
G_11945,G_11945,11945,True,False,11945
G_11946,G_11946,11946,True,False,11946
G_11947,G_11947,11947,True,False,11947
G_11949,G_11949,11949,True,False,11949
G_11950,G_11950,11950,True,False,11950
G_11951,G_11951,11951,True,False,11951
G_11957,G_11957,11957,True,False,11957
G_11958,G_11958,11958,True,False,11958
G_11964,G_11964,11964,True,False,11964
G_11966,G_11966,11966,True,False,11966
G_11972,G_11972,11972,True,False,11972
G_11973,G_11973,11973,True,False,11973
G_11974,G_11974,11974,True,False,11974
G_11975,G_11975,11975,True,False,11975
G_11980,G_11980,11980,True,False,11980
G_11982,G_11982,11982,True,False,11982
G_11984,G_11984,11984,True,False,11984
G_11987,G_11987,11987,True,False,11987
G_11988,G_11988,11988,True,False,11988
G_11989,G_11989,11989,True,False,11989
G_11992,G_11992,11992,True,False,11992
G_12012,G_12012,12012,True,False,12012
G_12035,G_12035,12035,True,False,12035
G_12036,G_12036,12036,True,False,12036
G_12039,G_12039,12039,True,False,12039
G_12040,G_12040,12040,True,False,12040
G_12091,G_12091,12091,True,False,12091
G_12116,G_12116,12116,True,False,12116
G_12183,G_12183,12183,True,False,12183
G_12346,G_12346,12346,True,False,12346
G_12349,G_12349,12349,True,False,12349
G_12350,G_12350,12350,True,False,12350
G_12351,G_12351,12351,True,False,12351
G_12352,G_12352,12352,True,False,12352
G_12354,G_12354,12354,True,False,12354
G_12359,G_12359,12359,True,False,12359
G_12408,G_12408,12408,True,False,12408
G_12411,G_12411,12411,True,False,12411
G_12494,G_12494,12494,True,False,12494
G_12495,G_12495,12495,True,False,12495
G_12496,G_12496,12496,True,False,12496
G_12497,G_12497,12497,True,False,12497
G_12499,G_12499,12499,True,False,12499
G_12583,G_12583,12583,True,False,12583
G_12642,G_12642,12642,True,False,12642
G_12647,G_12647,12647,True,False,12647
G_12651,G_12651,12651,True,False,12651
G_12660,G_12660,12660,True,False,12660
G_12709,G_12709,12709,True,False,12709
G_12715,G_12715,12715,True,False,12715
G_12764,G_12764,12764,True,False,12764
G_12846,G_12846,12846,True,False,12846
G_12850,G_12850,12850,True,False,12850
G_12892,G_12892,12892,True,False,12892
G_12894,G_12894,12894,True,False,12894
G_12895,G_12895,12895,True,False,12895
G_12896,G_12896,12896,True,False,12896
G_12908,G_12908,12908,True,False,12908
G_12934,G_12934,12934,True,False,12934
G_12974,G_12974,12974,True,False,12974
G_13026,G_13026,13026,True,False,13026
G_13070,G_13070,13070,True,False,13070
G_13072,G_13072,13072,True,False,13072
G_13074,G_13074,13074,True,False,13074
G_13075,G_13075,13075,True,False,13075
G_13076,G_13076,13076,True,False,13076
G_13077,G_13077,13077,True,False,13077
G_13078,G_13078,13078,True,False,13078
G_13079,G_13079,13079,True,False,13079
G_13081,G_13081,13081,True,False,13081
G_13106,G_13106,13106,True,False,13106
G_13107,G_13107,13107,True,False,13107
G_13113,G_13113,13113,True,False,13113
G_13115,G_13115,13115,True,False,13115
G_13116,G_13116,13116,True,False,13116
G_13117,G_13117,13117,True,False,13117
G_13121,G_13121,13121,True,False,13121
G_13122,G_13122,13122,True,False,13122
G_13123,G_13123,13123,True,False,13123
G_13124,G_13124,13124,True,False,13124
G_13135,G_13135,13135,True,False,13135
G_13142,G_13142,13142,True,False,13142
G_13162,G_13162,13162,True,False,13162
G_13166,G_13166,13166,True,False,13166
G_13171,G_13171,13171,True,False,13171
G_13177,G_13177,13177,True,False,13177
G_13178,G_13178,13178,True,False,13178
G_13180,G_13180,13180,True,False,13180
G_13190,G_13190,13190,True,False,13190
G_13195,G_13195,13195,True,False,13195
G_13200,G_13200,13200,True,False,13200
G_13244,G_13244,13244,True,False,13244
G_13340,G_13340,13340,True,False,13340
G_13350,G_13350,13350,True,False,13350
G_13358,G_13358,13358,True,False,13358
G_13360,G_13360,13360,True,False,13360
G_13361,G_13361,13361,True,False,13361
G_13382,G_13382,13382,True,False,13382
G_13433,G_13433,13433,True,False,13433
G_13434,G_13434,13434,True,False,13434
G_13435,G_13435,13435,True,False,13435
G_13436,G_13436,13436,True,False,13436
G_13478,G_13478,13478,True,False,13478
G_13480,G_13480,13480,True,False,13480
G_13481,G_13481,13481,True,False,13481
G_13487,G_13487,13487,True,False,13487
G_13521,G_13521,13521,True,False,13521
G_13595,G_13595,13595,True,False,13595
G_13806,G_13806,13806,True,False,13806
G_13807,G_13807,13807,True,False,13807
G_13808,G_13808,13808,True,False,13808
G_13861,G_13861,13861,True,False,13861
G_13885,G_13885,13885,True,False,13885
G_14042,G_14042,14042,True,False,14042
G_14043,G_14043,14043,True,False,14043
G_140483,G_140483,140483,True,False,140483
G_140494,G_140494,140494,True,False,140494
G_14081,G_14081,14081,True,False,14081
G_14085,G_14085,14085,True,False,14085
G_14104,G_14104,14104,True,False,14104
G_14120,G_14120,14120,True,False,14120
G_14121,G_14121,14121,True,False,14121
G_14137,G_14137,14137,True,False,14137
G_14151,G_14151,14151,True,False,14151
G_14194,G_14194,14194,True,False,14194
G_142681,G_142681,142681,True,False,142681
G_14287,G_14287,14287,True,False,14287
G_14317,G_14317,14317,True,False,14317
G_14343,G_14343,14343,True,False,14343
G_14348,G_14348,14348,True,False,14348
G_14377,G_14377,14377,True,False,14377
G_14378,G_14378,14378,True,False,14378
G_14381,G_14381,14381,True,False,14381
G_14385,G_14385,14385,True,False,14385
G_14387,G_14387,14387,True,False,14387
G_14411,G_14411,14411,True,False,14411
G_14412,G_14412,14412,True,False,14412
G_14415,G_14415,14415,True,False,14415
G_14417,G_14417,14417,True,False,14417
G_14420,G_14420,14420,True,False,14420
G_14421,G_14421,14421,True,False,14421
G_14430,G_14430,14430,True,False,14430
G_14431,G_14431,14431,True,False,14431
G_14447,G_14447,14447,True,False,14447
G_14450,G_14450,14450,True,False,14450
G_14466,G_14466,14466,True,False,14466
G_14528,G_14528,14528,True,False,14528
G_14537,G_14537,14537,True,False,14537
G_14538,G_14538,14538,True,False,14538
G_14544,G_14544,14544,True,False,14544
G_14555,G_14555,14555,True,False,14555
G_14571,G_14571,14571,True,False,14571
G_14583,G_14583,14583,True,False,14583
G_14584,G_14584,14584,True,False,14584
G_14593,G_14593,14593,True,False,14593
G_14595,G_14595,14595,True,False,14595
G_14598,G_14598,14598,True,False,14598
G_14626,G_14626,14626,True,False,14626
G_14629,G_14629,14629,True,False,14629
G_14630,G_14630,14630,True,False,14630
G_14635,G_14635,14635,True,False,14635
G_14645,G_14645,14645,True,False,14645
G_14651,G_14651,14651,True,False,14651
G_14660,G_14660,14660,True,False,14660
G_14664,G_14664,14664,True,False,14664
G_14711,G_14711,14711,True,False,14711
G_14712,G_14712,14712,True,False,14712
G_14718,G_14718,14718,True,False,14718
G_14719,G_14719,14719,True,False,14719
G_14731,G_14731,14731,True,False,14731
G_14732,G_14732,14732,True,False,14732
G_14751,G_14751,14751,True,False,14751
G_14755,G_14755,14755,True,False,14755
G_14775,G_14775,14775,True,False,14775
G_14776,G_14776,14776,True,False,14776
G_14778,G_14778,14778,True,False,14778
G_14782,G_14782,14782,True,False,14782
G_14854,G_14854,14854,True,False,14854
G_14863,G_14863,14863,True,False,14863
G_14874,G_14874,14874,True,False,14874
G_14917,G_14917,14917,True,False,14917
G_14919,G_14919,14919,True,False,14919
G_14923,G_14923,14923,True,False,14923
G_14933,G_14933,14933,True,False,14933
G_14936,G_14936,14936,True,False,14936
G_14979,G_14979,14979,True,False,14979
G_15107,G_15107,15107,True,False,15107
G_15108,G_15108,15108,True,False,15108
G_15109,G_15109,15109,True,False,15109
G_15112,G_15112,15112,True,False,15112
G_15116,G_15116,15116,True,False,15116
G_15117,G_15117,15117,True,False,15117
G_15118,G_15118,15118,True,False,15118
G_15186,G_15186,15186,True,False,15186
G_15211,G_15211,15211,True,False,15211
G_15212,G_15212,15212,True,False,15212
G_15233,G_15233,15233,True,False,15233
G_15275,G_15275,15275,True,False,15275
G_15277,G_15277,15277,True,False,15277
G_15288,G_15288,15288,True,False,15288
G_15356,G_15356,15356,True,False,15356
G_15357,G_15357,15357,True,False,15357
G_15360,G_15360,15360,True,False,15360
G_15368,G_15368,15368,True,False,15368
G_15369,G_15369,15369,True,False,15369
G_15445,G_15445,15445,True,False,15445
G_15450,G_15450,15450,True,False,15450
G_15452,G_15452,15452,True,False,15452
G_15476,G_15476,15476,True,False,15476
G_15478,G_15478,15478,True,False,15478
G_15483,G_15483,15483,True,False,15483
G_15484,G_15484,15484,True,False,15484
G_15485,G_15485,15485,True,False,15485
G_15486,G_15486,15486,True,False,15486
G_15487,G_15487,15487,True,False,15487
G_15488,G_15488,15488,True,False,15488
G_15490,G_15490,15490,True,False,15490
G_15492,G_15492,15492,True,False,15492
G_15493,G_15493,15493,True,False,15493
G_15531,G_15531,15531,True,False,15531
G_15567,G_15567,15567,True,False,15567
G_15926,G_15926,15926,True,False,15926
G_15929,G_15929,15929,True,False,15929
G_15930,G_15930,15930,True,False,15930
G_15931,G_15931,15931,True,False,15931
G_15932,G_15932,15932,True,False,15932
G_160287,G_160287,160287,True,False,160287
G_16329,G_16329,16329,True,False,16329
G_16330,G_16330,16330,True,False,16330
G_16331,G_16331,16331,True,False,16331
G_16332,G_16332,16332,True,False,16332
G_16434,G_16434,16434,True,False,16434
G_16548,G_16548,16548,True,False,16548
G_16770,G_16770,16770,True,False,16770
G_16790,G_16790,16790,True,False,16790
G_16816,G_16816,16816,True,False,16816
G_16828,G_16828,16828,True,False,16828
G_16832,G_16832,16832,True,False,16832
G_16833,G_16833,16833,True,False,16833
G_16891,G_16891,16891,True,False,16891
G_16922,G_16922,16922,True,False,16922
G_16956,G_16956,16956,True,False,16956
G_16987,G_16987,16987,True,False,16987
G_16993,G_16993,16993,True,False,16993
G_17001,G_17001,17001,True,False,17001
G_17025,G_17025,17025,True,False,17025
G_170441,G_170441,170441,True,False,170441
G_170442,G_170442,170442,True,False,170442
G_170718,G_170718,170718,True,False,170718
G_170768,G_170768,170768,True,False,170768
G_170789,G_170789,170789,True,False,170789
G_17117,G_17117,17117,True,False,17117
G_171210,G_171210,171210,True,False,171210
G_171429,G_171429,171429,True,False,171429
G_17155,G_17155,17155,True,False,17155
G_17156,G_17156,17156,True,False,17156
G_171567,G_171567,171567,True,False,171567
G_17158,G_17158,17158,True,False,17158
G_17159,G_17159,17159,True,False,17159
G_17161,G_17161,17161,True,False,17161
G_17250,G_17250,17250,True,False,17250
G_17252,G_17252,17252,True,False,17252
G_17254,G_17254,17254,True,False,17254
G_17308,G_17308,17308,True,False,17308
G_17309,G_17309,17309,True,False,17309
G_17423,G_17423,17423,True,False,17423
G_17436,G_17436,17436,True,False,17436
G_17448,G_17448,17448,True,False,17448
G_17449,G_17449,17449,True,False,17449
G_17523,G_17523,17523,True,False,17523
